ray_id,step,x,y,r,phi,dr,dphi,E,L
6,12,-99961026942.96194,16666666660.416166,101340932919.82756,2.976380752709944,-295710927.38708615,-0.00048651883326902953,299285164.6648196,-4.996540966666673e+18
7,12,-99961026887.8323,27777777752.044537,103748791960.7352,2.870545263386278,-288848813.28606933,-0.0007736634945629181,298477321.29879993,-8.327568277777781e+18
8,12,-99961026826.72536,38888888829.09539,107259277261.29356,2.7705696687074535,-279396197.32429016,-0.0010133897454498112,297455535.9427231,-1.1658595588888881e+19
9,12,-99961026773.60031,49999999896.556786,111768541474.2812,2.6777891038920365,-268125174.5922204,-0.0011999179219527058,296371855.54086864,-1.4989622900000004e+19
0,13,-99958028815.96454,-49999999880.02555,111765860229.21199,-2.6777771044249583,-268123839.2349885,0.0011999754943204403,296371855.54086864,1.4989622900000004e+19
1,13,-99958028877.57825,-38888888819.53959,107256483303.85104,-2.7705595345460177,-279395291.170223,0.0010134425423458469,297455535.9427231,1.1658595588888881e+19
2,13,-99958028948.44987,-27777777747.931908,103745903475.13797,-2.8705375265359296,-288848306.15273494,0.0007737065757236326,298477321.29879993,8.327568277777781e+18
3,13,-99958029012.38943,-16666666659.417229,101337975811.52792,-2.9763758873796418,-295710732.5388753,0.00048654722755772954,299285164.6648196,4.996540966666673e+18
4,13,-99958029050.74475,-5555555555.2701435,100112295794.45886,-3.0860708931677214,-299330570.19473225,0.00016617793433628365,299734041.88516045,1.66551365555556e+18
5,13,-99958029050.74475,5555555555.2701435,100112295794.45886,3.0860708931677214,-299330570.19473225,-0.00016617793433628365,299734041.88516045,-1.66551365555556e+18
6,13,-99958029012.38943,16666666659.417229,101337975811.52792,2.9763758873796418,-295710732.5388753,-0.00048654722755772954,299285164.6648196,-4.996540966666673e+18
7,13,-99958028948.44987,27777777747.931908,103745903475.13797,2.8705375265359296,-288848306.15273494,-0.0007737065757236326,298477321.29879993,-8.327568277777781e+18
8,13,-99958028877.57825,38888888819.53959,107256483303.85104,2.7705595345460177,-279395291.170223,-0.0010134425423458469,297455535.9427231,-1.1658595588888881e+19
9,13,-99958028815.96454,49999999880.02555,111765860229.21199,2.6777771044249583,-268123839.2349885,-0.0011999754943204403,296371855.54086864,-1.4989622900000004e+19
0,14,-99955030855.87857,-49999999862.26872,111763178997.4968,-2.677765104382137,-268122503.78822088,0.0012000330705450076,296371855.54086864,1.4989622900000004e+19
1,14,-99955030926.61002,-38888888809.27528,107253689355.47038,-2.770549399856593,-279394384.9504295,0.0010134953431967515,297455535.9427231,1.1658595588888881e+19
2,14,-99955031007.97011,-27777777743.514328,103743014994.61227,-2.870529789254752,-288847798.98021126,0.0007737496604072343,298477321.29879993,8.327568277777781e+18
3,14,-99955031081.37267,-16666666658.344198,101335018705.17683,-2.9763710217653845,-295710537.6749206,0.0004865756243135174,299285164.6648196,4.996540966666673e+18
